ticker,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,revenue_growth,earnings_growth,debt_to_equity,total_cash,free_cashflow,operating_margin,profit_margin,cash_runway_years,short_pct_float,insider_pct,beta,target_price,upside_pct,recommendation,first_trade_date,years_since_ipo,next_earnings_date,long_summary,industry,country,website,employees,dividend_yield,fundamentals_fetched_at,error
AOS,16.749304,14.577111,1.63,4.413211,2.147805,-0.7000000000000001,-15.299999999999999,36.739,181300000.0,485112512.0,18.929000000000002,13.149,,10.229999600000001,0.45399999999999996,1.153,70.54545,17.3,hold,1983-09-30,42.8,2026-07-30,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, heat pumps, tanks, and water treatment products in North America, China, Europe, and India. The company offers water heaters for residences, restaurants, hotels, office buildings, laundries, car washes, and small businesses; boilers for hospitals, schools, hotels, homes, apartments, and condominiums, and other large commercial buildings; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, and point-of-use carbon and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides commercial water treatment and filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and electric wall-hung, gas tankless, combi-boiler, and heat pump and solar water heaters. The company offers its products under the A. O. Smith, State, Lochinvar, Hague, Water-Right, Master Water, Atlantic Filter, Impact, and Water Tec brands. It distributes its products through independent wholesale plumbing distributors, as well as to retail channels consisting of hardware and home center chains, and manufacturer representative firms, as well as offers Aquasana branded products directly to consumers through e-commerce channels; and A. O. Smith branded water treatment products through dealer network and...",Specialty Industrial Machinery,United States,https://www.aosmith.com,11500.0,2.39,2026-08-01T08:27:11.207864+00:00,
AES,7.726316,6.16926,0.81,2.368506,0.8384043,8.7,951.0999999999999,259.603,1651000064.0,-2964999936.0,18.742001,10.818999999999999,,3.2300000000000004,0.57599996,0.942,15.0,2.2,hold,1991-06-26,35.1,,"The AES Corporation, together with its subsidiaries, operates as a power generation and utility company. It operates through four segments: Renewables, Utilities, Energy Infrastructure, and New Energy Technologies. The company owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries; owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market, as well as investments in technologies to support leading-edge greener energy solutions. It uses various fuels and technologies to generate electricity, such as solar, hydro, wind, coal, and gas, as well as renewables comprising energy storage and landfill gas. The company owns and/or operates a generation portfolio of approximately 34,740 megawatts and distributes power to 2.7 million customers. The company operates in the United States, Chile, Dominican Republic, El Salvador, Mexico, Bulgaria, Panama, Colombia, Argentina, Vietnam, Jordan, Puerto Rico, and internationally. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is based in Arlington, Virginia.",Utilities - Diversified,United States,https://www.aes.com,8336.0,4.74,2026-08-01T08:27:11.902592+00:00,
A,27.841047,20.92786,1.24,5.48304,5.403775,10.0,60.0,49.733,1807000064.0,930625024.0,23.706,19.552,,3.0299999,0.19400001,1.255,159.3158,15.1,buy,1999-11-18,26.7,2026-08-26,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers liquid chromatography systems and components; and liquid chromatography mass spectrometry systems. This segment is also involved in the genomics, contract development and manufacturing organization, pathology, companion diagnostics, and biomolecular analysis businesses. The Agilent CrossLab segment provides various services, including repairs, parts, maintenance, installations, training, compliance support, software as a service, asset management, consulting, and other custom services. This segment also offers consumables, including gas chromatography and liquid chromatography columns, sample preparation products, custom chemistries, and various laboratory supplies; software and informatics solutions comprising software for instrument control, data acquisition, data analysis, secure storage of results, and laboratory information and workflow management; and OpenLab laboratory software, an open software platform that enables customers to capture, analyze, and share scientific data throughout the lab and across the enterprise. In addition, it provides automated sample preparation solutions, such as liquid handling, plate management, consumables, and scheduling...",Diagnostics & Research,United States,https://www.agilent.com,18000.0,74.0,2026-08-01T08:27:12.208375+00:00,
AKAM,38.52174,15.987985,1.27,3.4151692,3.9247448,5.800000000000001,-13.4,119.534,930444992.0,700723392.0,10.610999999999999,10.2,,15.9,2.103,0.633,158.21349,37.4,buy,1999-10-29,26.8,2026-08-06,"Akamai Technologies, Inc. engages in the provision of security, delivery, and cloud computing solutions in the United States and internationally. It offers security solutions that include web application and application programming interfaces (API) protection solutions, which protect web, API, and mobile app traffic from attacks; Bot & Abuse portfolio, which provides solutions to help customers protect against threats; full account lifecycle protections including the ability to defend against account takeover and opening abuse, adversarial bot protection, protection against credential stuffing, inventory scalping, and hoarding; and solutions designed to stop persistent scrapers from stealing content; API security, which discovers, audits, and monitors API; and microservice and application component protection that analyzes and protects application traffic that moves between application components. The company also offers cloud computing services, which include compute, storage, and cloud native and networking services; and Akamai App Platform, provides ready-to-run templates that address challenges in deploying, managing and scaling Kubernetes clusters at scale. In addition, it offers delivery solutions that include web and mobile performance solutions, which enables dynamic websites and applications, as well as global traffic management, site acceleration, application load balancing, large-scale load testing, and real-user monitoring; and media delivery solutions, includi...",Software - Infrastructure,United States,https://www.akamai.com,11419.0,,2026-08-01T08:27:12.509063+00:00,
ALB,,9.434885,0.79,1.8211372,2.525002,32.7,,19.845,1089809024.0,716711744.0,24.786,-4.2379998,,0.06999999999999999,0.191,1.346,187.164,59.1,buy,1994-02-22,32.4,2026-08-05,"Albemarle Corporation provides energy storage solutions worldwide. It operates through three segments: Energy Storage, Specialties, and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride for use in lithium batteries used in consumer electronics and electric vehicles; power grids and solar panels; high-performance greases; and specialty glass used in consumer appliances and electronics. The Specialties segment provides bromine and highly specialized lithium solutions for various industries, such as energy, mobility, connectivity, and health comprising fire safety compounds; bromine-based specialty chemical products, including elemental bromine, alkyl bromides, inorganic bromides, brominated powdered activated carbon, and various bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications, including airbag initiators. This segment also provides organic synthesis processes in the areas of steroid chemistry and vitamins, and various life science applications, as well as intermediates for the pharmaceutical industry; technical services, including handling and use of reactive lithium products; and recycling services for lithium-containing by-products. The Ketjen segment offers clean fuels technologies, including hydroprocessing ...",Specialty Chemicals,United States,https://www.albemarle.com,7800.0,1.39,2026-08-01T08:27:12.929214+00:00,
ALGN,30.099646,13.498148,0.95,2.8574808,2.9266405,4.3,-12.1,2.047,1102590976.0,645827968.0,18.247,9.991,,7.6899999999999995,6.816,1.669,209.92857,24.1,buy,2001-01-30,25.5,2026-07-29,"Align Technology, Inc. provides Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The company's Clear Aligner segment offers Invisalign comprehensive package to treat adults and teens malocclusion and features, and orthodontic needs of teenage or younger patients; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients between the ages of six and ten years with a mixture of primary/baby and permanent teeth. This segment also provides Invisalign express, Invisalign lite, and Invisalign moderate; Invisalign Go, Invisalign Go express, and Invisalign Go Plus; retention products, Invisalign training, adjusting tools used by dental professionals during treatment, ancillary Invisalign accessory products, and other oral health products; Invisalign Professional Whitening system; Invisalign Palatal Expander, a 3D printed orthodontic device; and 3D printing solutions. Its Imaging Systems and CAD/CAM Services segment offers iTero intraoral scanning system, a single hardware platform for restorative or orthodontic procedures; exocad, a computer-aided design and computer-aided manufacturing software; orthodontist software for digital records storage, orthodontic diagnosis, and fabrication of printed models and retainers; and restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons. This segment also off...",Medical Instruments & Supplies,United States,https://www.aligntech.com,20290.0,,2026-08-01T08:27:13.237070+00:00,
ALLE,20.629095,16.199915,2.27,6.3195086,3.1210887,12.7,16.2,104.895,320600000.0,484449984.0,22.102,15.357000000000001,,5.4899998,0.245,0.858,173.0,9.9,buy,2013-11-18,12.7,2026-07-23,"Allegion plc engages in the provision of security products and solutions worldwide. It is operating through two segments: Allegion Americas and Allegion International. The company offers door controls, door control system, and exit devices; doors, glass and door systems, and accessories; electronic security products and access control systems, including time, attendance, and workforce productivity; and locks, locksets, portable locks, and key systems. It also provides services and software, such as inspection, maintenance, and repair services for its automatic entrance solutions; software as a service, including access control, platform integration, and workforce management solutions; and ongoing aftermarket services, and design and installation offerings. In addition, the company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, retail, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, online and e-commerce platforms, and small specialty showroom outlets. Allegion plc was incorporated in 2013 and is based in Dublin, Ireland.",Security & Protection Services,Ireland,https://www.allegion.com,13300.0,1.35,2026-08-01T08:27:13.539643+00:00,
LNT,22.25786,19.204418,2.38,2.4301312,4.127534,1.0,-4.0,160.951,25000000.0,-1169624960.0,19.053,18.447,,12.4,0.154,,79.26923,12.0,buy,1973-02-21,53.4,2026-07-30,"Alliant Energy Corporation operates as a utility holding company that provides regulated electric and natural gas services in the United States. It operates through IPL and WPL segments. The company's IPL segment engages primarily in the generation and distribution of electricity and the distribution and transportation of natural gas to retail customers in select markets in Iowa. This segment also sells electricity to wholesale customers in Minnesota, Illinois and Iowa; and generates and distributes steam for two customers in Cedar Rapids, Iowa. Its WPL segment generates and distributes electricity, and distributes and transports natural gas to retail customers in select markets in Wisconsin; and sells electricity to wholesale customers in Wisconsin. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, packaging, and food industries, as well as wholesale customers comprising municipalities and rural electric cooperatives. In addition, the company owns and operates a short-line rail freight service in Iowa; a Mississippi River barge, rail, and truck freight terminal in Illinois; freight brokerage services; wind turbine blade recycling services; and a rail-served warehouse in Iowa. Further, it holds interests in a natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a wind farm located in Oklahoma. The company was formerly known as Interstate Energy Corp. and changed its name to Alliant Energy Corporation in M...",Utilities - Regulated Electric,United States,https://www.alliantenergy.com,2948.0,3.02,2026-08-01T08:27:13.895197+00:00,
AMCR,36.19355,10.490467,0.63,1.7801753,0.9351093,77.4,-11.700000000000001,143.74,1587000064.0,149500000.0,8.59,3.0550001,,6.9,0.25600002,0.614,48.35636,7.7,buy,2012-05-15,14.2,2026-08-12,"Amcor plc, together with its subsidiaries, engages in the production and sale of packaging products in Europe, North America, Latin America, and the Asia Pacific. The company operates in two segments, Global Flexible Packaging Solutions and Global Rigid Packaging Solutions. The Global Flexible Packaging Solutions segment develops and supplies flexible packaging products, including polymer resin, aluminum, and fiber based flexible packaging products to the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries. The Global Rigid Packaging Solutions segment manufactures rigid packaging containers, closures, dispensing and pharma devices, and related products for the food and beverage applications. The company sells its products through its direct sales force. The company was incorporated in 1926 and is headquartered in Zurich, Switzerland.",Packaging & Containers,Switzerland,https://www.amcor.com,77000.0,5.76,2026-08-01T08:27:14.194415+00:00,
AWK,23.253033,20.434675,2.68,2.2857678,5.046077,6.2,8.6,137.745,227000000.0,-1785374976.0,40.664001999999996,21.346999999999998,,7.28,0.11499999999999999,0.599,139.36365,3.9,hold,2008-04-23,18.3,2026-10-28,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services in the United States. It offers water and wastewater services on military installations; and undertakes contracts with municipal customers, primarily to operate and manage water and wastewater facilities, as well as offers other related services. The company also operates approximately 80 surface water treatment plants; 520 groundwater treatment plants; 170 wastewater treatment plants; 55,000 miles of transmission, distribution, and collection mains and pipes; 1,200 groundwater wells; 1,800 water and wastewater pumping stations; 1,100 treated water storage facilities; and 75 dams. In addition, it offers water and wastewater services to 14 states serving approximately 3.6 million active customers. The company serves residential customers; commercial customers, including food and beverage providers, commercial property developers and proprietors, and energy suppliers; fire service and private fire customers; industrial customers, such as large-scale manufacturers, mining, and production operations; public authorities comprising government buildings and other public sector facilities, such as schools and universities; and other utilities and community water and wastewater systems. The company was founded in 1886 and is headquartered in Camden, New Jersey.",Utilities - Regulated Water,United States,https://www.amwater.com,7000.0,2.67,2026-08-01T08:27:14.487936+00:00,
